dataset,method,method_key,final_acc_mean,final_acc_ci_95,recovery_acc_mean,recovery_acc_ci_95,gini_mean,coverage_mean,seeds
shakespeare,Random / FedAvg (B0),random,1.0,"[0.80, 1.26]",1.1,"[0.93, 1.24]",0.1708,100.0,"[42, 43, 44, 45, 46]"
shakespeare,Utility Greedy (B2),utility_greedy,1.05,"[0.87, 1.22]",1.07,"[1.00, 1.14]",0.9,10.0,"[42, 43, 44, 45, 46]"
shakespeare,"Fixed Exploration (B4, eps=0.15)",fixed_exploration,1.1,"[0.82, 1.38]",1.21,"[1.06, 1.34]",0.7097,90.4,"[42, 43, 44, 45, 46]"
shakespeare,"FedQual-CPX (B8, Proposed)",fedqual_cpx,1.19,"[1.00, 1.45]",1.14,"[1.08, 1.18]",0.5401,100.0,"[42, 43, 44, 45, 46]"
