round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.4285886436462403,5,20,0.15,0,0.11,1963.33
2,0.1,2.4293736297607422,5,20,0.15,0,0.19,1963.33
3,0.1,2.433707467651367,5,20,0.15,0,0.18,1963.33
4,0.17,2.325820865249634,5,20,0.15,0,0.21,1963.33
5,0.1743,2.3089039031982423,5,20,0.15,0,0.24,1963.33
6,0.1839,2.2689584392547606,5,20,0.15,0,0.25,1963.33
7,0.2168,2.156838809967041,5,20,0.15,0,0.21,1963.33
8,0.2497,2.1398652389526367,5,20,0.15,0,0.21,1963.33
9,0.2753,2.026312506866455,5,20,0.15,0,0.26,1963.33
10,0.2551,1.9858053478240967,5,20,0.15,0,0.23,1963.33
11,0.2749,1.9117765895843506,5,20,0.15,0,0.38,1963.33
12,0.2572,1.9528246688842774,5,20,0.15,0,0.36,1963.33
13,0.2715,1.9134079835891724,5,20,0.15,0,0.25,1963.33
14,0.2825,1.9015594299316407,5,20,0.15,0,0.25,1963.33
15,0.3037,1.802290637397766,5,20,0.15,0,0.34,1963.33
