round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,,,10,100,1.0,0,0.37,2014.13
2,,,10,100,1.0,0,0.1,2014.13
3,,,10,100,1.0,0,0.11,2014.13
4,,,10,100,1.0,0,0.08,2014.13
5,0.1,2.3521631954193114,10,100,1.0,0,0.08,2014.13
6,,,10,100,0.3464,0,1.18,2014.13
7,,,10,100,0.3345,0,1.07,2014.13
8,,,10,100,0.3231,0,1.11,2014.13
9,,,10,100,0.3117,0,1.32,2014.13
10,0.1266,2.354997665786743,10,100,0.3045,1,1.17,2014.13
11,,,10,100,0.2933,0,2.24,2014.13
12,,,10,100,0.2843,0,1.19,2014.13
13,,,10,100,0.2757,0,1.22,2014.13
14,,,10,100,0.2669,0,2.22,2014.13
15,0.1221,2.3184200256347656,10,100,0.2584,0,2.09,2014.13
16,,,10,100,0.2536,1,1.34,2014.13
17,,,10,100,0.2451,0,1.32,2014.13
18,,,10,100,0.2341,0,1.65,2014.13
19,,,10,100,0.2247,1,1.51,2014.13
20,0.2145,2.1397651542663576,10,100,0.2074,0,1.77,2014.13
21,,,10,100,0.1989,0,1.51,2014.13
22,,,10,100,0.1854,0,1.52,2014.13
23,,,10,100,0.1857,1,1.66,2014.13
24,,,10,100,0.1847,0,2.78,2014.13
25,0.2097,2.0966984149932864,10,100,0.1835,0,1.58,2014.13
26,,,10,100,0.1785,0,1.85,2014.13
27,,,10,100,0.1777,0,2.37,2014.13
28,,,10,100,0.1765,0,2.45,2014.13
29,,,10,100,0.1757,1,2.38,2014.13
30,0.2293,2.1076288621902464,10,100,0.1745,0,1.61,2014.13
31,,,10,100,0.1733,0,2.57,2014.13
32,,,10,100,0.1761,2,1.58,2014.13
33,,,10,100,0.1752,0,1.66,2014.13
34,,,10,100,0.1744,0,1.59,2014.13
35,0.182,2.2137987968444826,10,100,0.1736,0,1.99,2014.13
36,,,10,100,0.1805,3,1.78,2014.13
37,,,10,100,0.1799,0,1.99,2014.13
38,,,10,100,0.1791,0,1.68,2014.13
39,,,10,100,0.1744,0,1.68,2014.13
40,0.23,2.2092161134719848,10,100,0.1737,1,1.66,2014.13
41,,,10,100,0.1732,0,1.7,2014.13
42,,,10,100,0.1686,0,2.53,2014.13
43,,,10,100,0.1681,1,2.61,2014.13
44,,,10,100,0.1678,0,2.74,2014.13
45,0.2665,2.007779347229004,10,100,0.1675,0,1.61,2014.13
46,,,10,100,0.1591,1,1.75,2014.13
47,,,10,100,0.1626,1,1.63,2014.13
48,,,10,100,0.1621,0,1.62,2014.13
49,,,10,100,0.1615,0,1.93,2014.13
50,0.25,2.0202961906433106,10,100,0.1607,1,1.64,2014.13
51,,,10,100,0.1601,0,1.78,2014.13
52,,,10,100,0.1595,0,1.68,2014.13
53,,,10,100,0.1591,0,1.78,2014.13
54,,,10,100,0.1623,1,1.8,2014.13
55,0.2651,1.9881565502166747,10,100,0.1618,0,1.65,2014.13
56,,,10,100,0.1613,0,2.56,2014.13
57,,,10,100,0.1609,2,3.73,2014.13
58,,,10,100,0.1603,0,1.94,2014.13
59,,,10,100,0.16,0,1.78,2014.13
60,0.2776,1.9275778011322022,10,100,0.1555,1,1.77,2014.13
61,,,10,100,0.155,0,2.22,2014.13
62,,,10,100,0.1545,0,1.74,2014.13
63,,,10,100,0.1581,2,1.72,2014.13
64,,,10,100,0.1576,0,1.69,2014.13
65,0.2489,1.9678325830459595,10,100,0.1572,0,1.66,2014.13
66,,,10,100,0.1566,0,2.64,2014.13
67,,,10,100,0.1521,0,2.35,2014.13
68,,,10,100,0.1516,1,1.91,2014.13
69,,,10,100,0.1511,0,3.23,2014.13
70,0.253,1.925932302093506,10,100,0.1545,1,2.77,2014.13
71,,,10,100,0.1541,1,2.31,2014.13
72,,,10,100,0.1538,0,1.8,2014.13
73,,,10,100,0.1493,0,3.17,2014.13
74,,,10,100,0.1489,0,1.73,2014.13
75,0.3155,1.8530133449554442,10,100,0.1485,1,1.9,2014.13
76,,,10,100,0.148,0,1.83,2014.13
77,,,10,100,0.1476,0,1.89,2014.13
78,,,10,100,0.1512,2,1.72,2014.13
79,,,10,100,0.1507,0,1.72,2014.13
80,0.3141,1.8363181301116944,10,100,0.1463,0,1.78,2014.13
81,,,10,100,0.1459,0,2.0,2014.13
82,,,10,100,0.1456,1,1.98,2014.13
83,,,10,100,0.1453,0,4.86,2014.13
84,,,10,100,0.1451,1,2.86,2014.13
85,0.336,1.776449700164795,10,100,0.1448,0,3.28,2014.13
86,,,10,100,0.1445,1,3.29,2014.13
87,,,10,100,0.1442,1,1.96,2014.13
88,,,10,100,0.144,0,1.86,2014.13
89,,,10,100,0.1436,1,1.91,2014.13
90,0.3242,1.7989340927124022,10,100,0.1433,0,1.85,2014.13
91,,,10,100,0.143,1,1.78,2014.13
92,,,10,100,0.1427,0,2.28,2014.13
93,,,10,100,0.1424,1,1.76,2014.13
94,,,10,100,0.142,0,1.86,2014.13
95,0.3336,1.7784156921386718,10,100,0.1416,0,1.78,2014.13
96,,,10,100,0.1453,2,2.94,2014.13
97,,,10,100,0.149,1,2.89,2014.13
98,,,10,100,0.1487,0,4.6,2014.13
99,,,10,100,0.1485,2,1.76,2014.13
100,0.3171,1.7913861976623535,10,100,0.1483,0,1.82,2014.13
