round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,,,10,100,1.0,0,0.28,2014.18
2,,,10,100,1.0,0,0.16,2014.18
3,,,10,100,1.0,0,0.13,2014.18
4,,,10,100,1.0,0,0.08,2014.18
5,0.1,2.3574261562347414,10,100,1.0,0,0.08,2014.18
6,,,10,100,0.3466,0,1.66,2014.18
7,,,10,100,0.3348,0,1.68,2014.18
8,,,10,100,0.3232,0,1.05,2014.18
9,,,10,100,0.3121,0,1.1,2014.18
10,0.1663,2.286427547454834,10,100,0.3006,0,1.17,2014.18
11,,,10,100,0.2935,1,1.26,2014.18
12,,,10,100,0.2847,0,1.27,2014.18
13,,,10,100,0.2763,0,1.58,2014.18
14,,,10,100,0.2677,0,1.33,2014.18
15,0.1427,2.3187141136169434,10,100,0.2591,0,1.55,2014.18
16,,,10,100,0.2507,0,1.44,2014.18
17,,,10,100,0.2422,0,1.89,2014.18
18,,,10,100,0.2291,0,1.63,2014.18
19,,,10,100,0.2132,0,2.98,2014.18
20,0.1555,2.2168632396697996,10,100,0.2101,2,2.5,2014.18
21,,,10,100,0.1926,0,1.83,2014.18
22,,,10,100,0.1837,0,1.65,2014.18
23,,,10,100,0.1822,0,1.54,2014.18
24,,,10,100,0.1812,0,1.47,2014.18
25,0.2,2.210012786865234,10,100,0.1799,0,1.62,2014.18
26,,,10,100,0.1785,1,1.59,2014.18
27,,,10,100,0.1774,0,1.55,2014.18
28,,,10,100,0.1761,0,1.67,2014.18
29,,,10,100,0.1793,1,1.59,2014.18
30,0.2231,2.0753025232315063,10,100,0.1745,1,1.58,2014.18
31,,,10,100,0.1734,0,1.6,2014.18
32,,,10,100,0.1724,1,1.85,2014.18
33,,,10,100,0.1714,0,2.04,2014.18
34,,,10,100,0.1703,0,1.59,2014.18
35,0.2151,2.124219646835327,10,100,0.1694,0,3.35,2014.18
36,,,10,100,0.1726,2,3.08,2014.18
37,,,10,100,0.1715,0,1.7,2014.18
38,,,10,100,0.1708,0,1.61,2014.18
39,,,10,100,0.1702,0,1.68,2014.18
40,0.2686,2.020524628639221,10,100,0.1697,0,1.55,2014.18
41,,,10,100,0.1691,0,1.72,2014.18
42,,,10,100,0.1684,2,1.73,2014.18
43,,,10,100,0.1676,1,1.73,2014.18
44,,,10,100,0.1669,0,1.69,2014.18
45,0.2448,2.0022838705062864,10,100,0.1661,0,1.66,2014.18
46,,,10,100,0.1653,0,1.91,2014.18
47,,,10,100,0.1647,2,1.63,2014.18
48,,,10,100,0.1683,1,1.7,2014.18
49,,,10,100,0.1678,0,2.72,2014.18
50,0.3058,1.9038013944625853,10,100,0.1672,1,2.57,2014.18
51,,,10,100,0.1668,1,2.64,2014.18
52,,,10,100,0.1624,0,1.81,2014.18
53,,,10,100,0.1619,0,1.72,2014.18
54,,,10,100,0.1613,2,1.66,2014.18
55,0.3138,1.8960337783813477,10,100,0.161,0,1.78,2014.18
56,,,10,100,0.1608,0,1.68,2014.18
57,,,10,100,0.1606,2,1.67,2014.18
58,,,10,100,0.1563,0,1.71,2014.18
59,,,10,100,0.1598,1,2.27,2014.18
60,0.2951,1.9434942050933839,10,100,0.1593,1,1.74,2014.18
61,,,10,100,0.1588,0,1.78,2014.18
62,,,10,100,0.1582,0,1.71,2014.18
63,,,10,100,0.1576,0,1.73,2014.18
64,,,10,100,0.1571,1,2.47,2014.18
65,0.299,1.8810646696090698,10,100,0.1566,0,2.47,2014.18
66,,,10,100,0.1562,0,1.66,2014.18
67,,,10,100,0.1518,0,1.8,2014.18
68,,,10,100,0.1513,1,1.78,2014.18
69,,,10,100,0.1508,1,1.68,2014.18
70,0.2617,2.0085461544036867,10,100,0.1502,0,1.72,2014.18
71,,,10,100,0.1497,0,1.99,2014.18
72,,,10,100,0.1491,1,1.79,2014.18
73,,,10,100,0.1527,1,1.7,2014.18
74,,,10,100,0.1524,1,1.7,2014.18
75,0.2563,1.9691846199035645,10,100,0.152,1,1.73,2014.18
76,,,10,100,0.1517,0,1.81,2014.18
77,,,10,100,0.1513,0,1.75,2014.18
78,,,10,100,0.1509,0,2.76,2014.18
79,,,10,100,0.1505,0,3.03,2014.18
80,0.3583,1.792687650680542,10,100,0.1503,0,1.71,2014.18
81,,,10,100,0.1501,0,1.98,2014.18
82,,,10,100,0.1579,3,1.81,2014.18
83,,,10,100,0.1537,1,2.42,2014.18
84,,,10,100,0.1535,0,2.05,2014.18
85,0.32,1.851254532623291,10,100,0.1533,2,1.81,2014.18
86,,,10,100,0.1531,0,1.83,2014.18
87,,,10,100,0.153,1,1.92,2014.18
88,,,10,100,0.1529,0,1.75,2014.18
89,,,10,100,0.1528,1,1.81,2014.18
90,0.3755,1.760241844177246,10,100,0.1526,1,1.8,2014.18
91,,,10,100,0.1525,0,1.73,2014.18
92,,,10,100,0.1523,2,2.97,2014.18
93,,,10,100,0.1521,1,3.4,2014.18
94,,,10,100,0.1519,0,1.86,2014.18
95,0.3391,1.8362201446533204,10,100,0.1518,0,2.49,2014.18
96,,,10,100,0.1517,1,1.79,2014.18
97,,,10,100,0.1515,0,1.85,2014.18
98,,,10,100,0.1514,0,1.87,2014.18
99,,,10,100,0.1513,2,2.14,2014.18
100,0.3747,1.7647081211090088,10,100,0.1511,0,2.13,2014.18
