round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,,,36,100,1.0,0,0.13,1990.15
2,,,36,100,1.0,0,0.08,1990.15
3,,,36,100,1.0,0,0.09,1990.15
4,,,36,100,1.0,0,0.07,1990.15
5,0.1103,2.2836603427886963,36,100,1.0,0,0.14,1990.15
6,,,36,100,1.0,0,0.07,1990.15
7,,,36,100,1.0,0,0.11,1990.15
8,,,36,100,1.0,0,0.14,1990.15
9,,,36,100,1.0,0,0.07,1990.15
10,0.1476,2.2427997817993166,36,100,1.0,0,0.08,1990.15
11,,,36,100,1.0,0,0.09,1990.15
12,,,36,100,1.0,0,0.07,1990.15
13,,,36,100,1.0,0,0.08,1990.15
14,,,36,100,1.0,0,0.08,1990.15
15,0.177,2.1670103368759155,36,100,1.0,0,0.13,1990.15
16,,,36,100,1.0,0,0.09,1990.15
17,,,36,100,1.0,0,0.07,1990.15
18,,,36,100,1.0,0,0.07,1990.15
19,,,36,100,1.0,0,0.07,1990.15
20,0.2263,2.0528034605026244,36,100,1.0,0,0.09,1990.15
21,,,36,100,1.0,0,0.08,1990.15
22,,,36,100,1.0,0,0.09,1990.15
23,,,36,100,1.0,0,0.07,1990.15
24,,,36,100,1.0,0,0.09,1990.15
25,0.2915,1.989304759979248,36,100,1.0,0,0.07,1990.15
26,,,36,100,1.0,0,0.07,1990.15
27,,,36,100,1.0,0,0.07,1990.15
28,,,36,100,1.0,0,0.08,1990.15
29,,,36,100,1.0,0,0.07,1990.15
30,0.2872,1.9422044775009155,36,100,1.0,0,0.13,1990.15
31,,,36,100,1.0,0,0.08,1990.15
32,,,36,100,1.0,0,0.07,1990.15
33,,,36,100,1.0,0,0.11,1990.15
34,,,36,100,1.0,0,0.07,1990.15
35,0.318,1.8841962362289428,36,100,1.0,0,0.07,1990.15
36,,,36,100,1.0,0,0.09,1990.15
37,,,36,100,1.0,0,0.09,1990.15
38,,,36,100,1.0,0,0.08,1990.15
39,,,36,100,1.0,0,0.07,1990.15
40,0.3397,1.8115377754211426,36,100,1.0,0,0.17,1990.15
41,,,36,100,1.0,0,0.09,1990.15
42,,,36,100,1.0,0,0.07,1990.15
43,,,36,100,1.0,0,0.07,1990.15
44,,,36,100,1.0,0,0.07,1990.15
45,0.3646,1.7514014041900634,36,100,1.0,0,0.09,1990.15
46,,,36,100,1.0,0,0.08,1990.15
47,,,36,100,1.0,0,0.16,1990.15
48,,,36,100,1.0,0,0.07,1990.15
49,,,36,100,1.0,0,0.09,1990.15
50,0.3631,1.7366177249908448,36,100,1.0,0,0.07,1990.15
51,,,36,100,1.0,0,0.07,1990.15
52,,,36,100,1.0,0,0.11,1990.15
53,,,36,100,1.0,0,0.07,1990.15
54,,,36,100,1.0,0,0.07,1990.15
55,0.3781,1.7033494689941406,36,100,1.0,0,0.1,1990.15
56,,,36,100,1.0,0,0.08,1990.15
57,,,36,100,1.0,0,0.08,1990.15
58,,,36,100,1.0,0,0.07,1990.15
59,,,36,100,1.0,0,0.07,1990.15
60,0.3858,1.6934498945236207,36,100,1.0,0,0.07,1990.15
61,,,36,100,1.0,0,0.08,1990.15
62,,,36,100,1.0,0,0.12,1990.15
63,,,36,100,1.0,0,0.09,1990.15
64,,,36,100,1.0,0,0.08,1990.15
65,0.401,1.6440883628845215,36,100,1.0,0,0.08,1990.15
66,,,36,100,1.0,0,0.07,1990.15
67,,,36,100,1.0,0,0.08,1990.15
68,,,36,100,1.0,0,0.08,1990.15
69,,,36,100,1.0,0,0.09,1990.15
70,0.4095,1.6208863313674926,36,100,1.0,0,0.08,1990.15
71,,,36,100,1.0,0,0.08,1990.15
72,,,36,100,1.0,0,0.07,1990.15
73,,,36,100,1.0,0,0.07,1990.15
74,,,36,100,1.0,0,0.09,1990.15
75,0.4159,1.585415146446228,36,100,1.0,0,0.07,1990.15
76,,,36,100,1.0,0,0.08,1990.15
77,,,36,100,1.0,0,0.08,1990.15
78,,,36,100,1.0,0,0.09,1990.15
79,,,36,100,1.0,0,0.07,1990.15
80,0.4181,1.5836032333374024,36,100,1.0,0,0.08,1990.15
81,,,36,100,1.0,0,0.09,1990.15
82,,,36,100,1.0,0,0.09,1990.15
83,,,36,100,1.0,0,0.07,1990.15
84,,,36,100,1.0,0,0.07,1990.15
85,0.4226,1.5720596748352051,36,100,1.0,0,0.08,1990.15
86,,,36,100,1.0,0,0.12,1990.15
87,,,36,100,1.0,0,0.07,1990.15
88,,,36,100,1.0,0,0.07,1990.15
89,,,36,100,1.0,0,0.07,1990.15
90,0.407,1.58109838848114,36,100,1.0,0,0.1,1990.15
91,,,36,100,1.0,0,0.08,1990.15
92,,,36,100,1.0,0,0.08,1990.15
93,,,36,100,1.0,0,0.07,1990.15
94,,,36,100,1.0,0,0.08,1990.15
95,0.4549,1.4943048942565917,36,100,1.0,0,0.07,1990.15
96,,,36,100,1.0,0,0.08,1990.15
97,,,36,100,1.0,0,0.07,1990.15
98,,,36,100,1.0,0,0.07,1990.15
99,,,36,100,1.0,0,0.07,1990.15
100,0.4474,1.4966202266693116,36,100,1.0,0,0.07,1990.15
