round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,,,25,100,1.0,0,0.23,1990.09
2,,,25,100,1.0,0,0.08,1990.09
3,,,25,100,1.0,0,0.08,1990.09
4,,,25,100,1.0,0,0.08,1990.09
5,0.1187,2.3133316566467284,25,100,1.0,0,0.11,1990.09
6,,,25,100,1.0,0,0.09,1990.09
7,,,25,100,1.0,0,0.14,1990.09
8,,,25,100,1.0,0,0.08,1990.09
9,,,25,100,1.0,0,0.07,1990.09
10,0.1086,2.294573273086548,25,100,1.0,0,0.09,1990.09
11,,,25,100,1.0,0,0.11,1990.09
12,,,25,100,1.0,0,0.08,1990.09
13,,,25,100,0.1642,1,1.52,1990.09
14,,,25,100,0.1591,1,1.67,1990.09
15,0.1478,2.2075391345977784,25,100,0.1638,2,1.6,1990.09
16,,,25,100,0.1651,1,1.81,1990.09
17,,,25,100,0.1668,1,2.2,1990.09
18,,,25,100,0.1728,3,1.92,1990.09
19,,,25,100,0.1707,1,1.84,1990.09
20,0.2218,2.077191930770874,25,100,0.1769,2,1.63,1990.09
21,,,25,100,0.1912,4,1.49,1990.09
22,,,25,100,0.1899,4,1.82,1990.09
23,,,25,100,0.1925,4,2.61,1990.09
24,,,25,100,0.1913,0,1.62,1990.09
25,0.273,2.0019504806518555,25,100,0.1901,2,1.51,1990.09
26,,,25,100,0.1889,4,1.74,1990.09
27,,,25,100,0.1839,1,1.86,1990.09
28,,,25,100,0.1989,5,1.63,1990.09
29,,,25,100,0.198,3,2.43,1990.09
30,0.2831,1.9678547403335571,25,100,0.1971,4,1.76,1990.09
31,,,25,100,0.2002,5,1.68,1990.09
32,,,25,100,0.2034,4,2.32,1990.09
33,,,25,100,0.2027,0,1.6,1990.09
34,,,25,100,0.206,2,1.69,1990.09
35,0.2943,1.9146169101715087,25,100,0.2133,4,2.45,1990.09
36,,,25,100,0.2127,1,1.67,1990.09
37,,,25,100,0.208,1,1.95,1990.09
38,,,25,100,0.2034,7,2.07,1990.09
39,,,25,100,0.2067,4,1.86,1990.09
40,0.3231,1.8435714790344238,25,100,0.194,1,1.58,1990.09
41,,,25,100,0.1934,4,3.46,1990.09
42,,,25,100,0.1969,5,1.57,1990.09
43,,,25,100,0.2004,2,1.57,1990.09
44,,,25,100,0.1958,2,1.79,1990.09
45,0.3342,1.7880487070083617,25,100,0.1913,3,1.73,1990.09
46,,,25,100,0.1909,5,1.87,1990.09
47,,,25,100,0.1944,4,3.06,1990.09
48,,,25,100,0.1939,3,2.31,1990.09
49,,,25,100,0.1974,6,1.82,1990.09
50,0.3214,1.8179172019958496,25,100,0.2048,5,1.93,1990.09
51,,,25,100,0.2123,5,2.03,1990.09
52,,,25,100,0.2078,3,1.78,1990.09
53,,,25,100,0.2075,3,2.83,1990.09
54,,,25,100,0.211,3,1.8,1990.09
55,0.3707,1.768090644645691,25,100,0.2106,1,1.64,1990.09
56,,,25,100,0.1981,3,1.7,1990.09
57,,,25,100,0.1897,5,1.63,1990.09
58,,,25,100,0.1894,3,1.64,1990.09
59,,,25,100,0.1849,3,3.51,1990.09
60,0.3568,1.781668182373047,25,100,0.1845,4,1.99,1990.09
61,,,25,100,0.1721,3,1.82,1990.09
62,,,25,100,0.1796,3,1.7,1990.09
63,,,25,100,0.1792,5,1.86,1990.09
64,,,25,100,0.1789,3,1.69,1990.09
65,0.3607,1.7588066686630248,25,100,0.1786,5,2.79,1990.09
66,,,25,100,0.1743,4,1.76,1990.09
67,,,25,100,0.1819,6,1.65,1990.09
68,,,25,100,0.1776,1,1.82,1990.09
69,,,25,100,0.1774,4,1.75,1990.09
70,0.3756,1.7368692319869996,25,100,0.1811,3,1.84,1990.09
71,,,25,100,0.1848,4,2.72,1990.09
72,,,25,100,0.1805,2,1.84,1990.09
73,,,25,100,0.1843,5,1.86,1990.09
74,,,25,100,0.1921,7,1.81,1990.09
75,0.3823,1.7201957088470459,25,100,0.1798,2,1.7,1990.09
76,,,25,100,0.1756,3,2.02,1990.09
77,,,25,100,0.1753,5,2.63,1990.09
78,,,25,100,0.1831,6,1.81,1990.09
79,,,25,100,0.1789,2,1.77,1990.09
80,0.3941,1.7037947240829467,25,100,0.1787,5,1.92,1990.09
81,,,25,100,0.1784,1,3.13,1990.09
82,,,25,100,0.1822,5,2.32,1990.09
83,,,25,100,0.1739,2,3.07,1990.09
84,,,25,100,0.1615,3,1.82,1990.09
85,0.3997,1.6810740230560304,25,100,0.1612,4,1.71,1990.09
86,,,25,100,0.1649,6,2.05,1990.09
87,,,25,100,0.1767,4,1.85,1990.09
88,,,25,100,0.1764,4,2.92,1990.09
89,,,25,100,0.1841,5,1.75,1990.09
90,0.4009,1.6665862632751465,25,100,0.1838,3,2.14,1990.09
91,,,25,100,0.1836,2,1.76,1990.09
92,,,25,100,0.1794,4,1.82,1990.09
93,,,25,100,0.1951,9,2.03,1990.09
94,,,25,100,0.2028,5,4.04,1990.09
95,0.3936,1.690774742126465,25,100,0.1986,4,2.1,1990.09
96,,,25,100,0.1983,4,1.98,1990.09
97,,,25,100,0.1981,4,1.8,1990.09
98,,,25,100,0.1939,2,1.84,1990.09
99,,,25,100,0.1937,4,2.98,1990.09
100,0.4036,1.652722500228882,25,100,0.1935,3,2.9,1990.09
