round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.3066431922912596,10,100,0.15,0,0.19,2307.11
2,0.1,2.3354054206848143,10,100,0.15,0,0.26,2307.11
3,0.1,2.3584790378570557,10,100,0.15,0,0.32,2307.11
4,0.1066,2.3424310649871827,10,100,0.15,0,0.29,2307.11
5,0.1,2.3466127479553225,10,100,0.15,0,0.36,2307.11
6,0.1,2.337514614868164,10,100,0.15,0,0.4,2307.11
7,0.1004,2.3179197311401367,10,100,0.15,0,0.54,2307.11
8,0.1133,2.3443844360351562,10,100,0.15,0,0.55,2307.11
9,0.104,2.356780422210693,10,100,0.15,0,0.42,2307.11
10,0.1283,2.3096070137023927,10,100,0.15,0,0.38,2307.11
11,0.1218,2.3210711112976075,10,100,0.15,0,0.38,2307.11
12,0.1481,2.3232186042785643,10,100,0.15,0,0.55,2307.11
13,0.1431,2.2774819274902343,10,100,0.15,0,0.4,2307.11
14,0.1591,2.3277904090881347,10,100,0.15,0,0.4,2307.11
15,0.1118,2.2930114082336424,10,100,0.15,0,0.46,2307.11
16,0.1006,2.280874188232422,10,100,0.15,0,0.41,2307.11
17,0.157,2.3032530433654785,10,100,0.15,0,0.42,2307.11
18,0.1199,2.2620429847717287,10,100,0.15,0,0.48,2307.11
19,0.1663,2.2281124992370605,10,100,0.15,0,0.54,2307.11
20,0.1471,2.206286280822754,10,100,0.15,0,0.65,2307.11
21,0.1978,2.1983095277786253,10,100,0.15,0,0.69,2307.11
22,0.2103,2.1770862323760984,10,100,0.15,0,0.54,2307.11
23,0.1975,2.1917184003829955,10,100,0.15,0,0.49,2307.11
24,0.2013,2.1913414901733397,10,100,0.15,0,0.55,2307.11
25,0.1908,2.2081252250671386,10,100,0.15,0,0.61,2307.11
26,0.1715,2.2628676734924316,10,100,0.15,0,0.54,2307.11
27,0.2015,2.1860048564910888,10,100,0.15,0,0.51,2307.11
28,0.1648,2.1969197898864747,10,100,0.15,0,0.59,2307.11
29,0.1494,2.3122392353057863,10,100,0.15,0,0.56,2307.11
30,0.1985,2.169406230926514,10,100,0.15,0,0.56,2307.11
31,0.1626,2.224580700302124,10,100,0.15,0,0.56,2307.11
32,0.1625,2.1848653430938723,10,100,0.15,0,0.85,2307.11
33,0.1994,2.1472964637756347,10,100,0.15,0,0.84,2307.11
34,0.1532,2.2054943504333497,10,100,0.15,0,0.61,2307.11
35,0.2055,2.107188960266113,10,100,0.15,0,0.65,2307.11
36,0.2067,2.1345046937942507,10,100,0.15,0,0.61,2307.11
37,0.2421,2.1038066104888915,10,100,0.15,0,0.81,2307.11
38,0.235,2.089057223701477,10,100,0.15,0,0.59,2307.11
39,0.2157,2.131013762283325,10,100,0.15,0,0.61,2307.11
40,0.2483,2.0345503734588624,10,100,0.15,0,0.67,2307.11
41,0.2098,2.0654702852249147,10,100,0.15,0,0.64,2307.11
42,0.2338,2.0661421089172363,10,100,0.15,0,0.6,2307.11
43,0.2399,2.0379927360534666,10,100,0.15,0,0.6,2307.11
44,0.1967,2.0814371215820313,10,100,0.15,0,0.95,2307.11
45,0.2573,2.037158237838745,10,100,0.15,0,1.17,2307.11
46,0.2171,2.042532442855835,10,100,0.15,0,0.74,2307.11
47,0.253,2.041566148376465,10,100,0.15,0,0.69,2307.11
48,0.2401,2.0237452768325808,10,100,0.15,0,0.74,2307.11
49,0.2553,1.9948737730026245,10,100,0.15,0,0.69,2307.11
50,0.2673,2.0251488761901855,10,100,0.15,0,0.69,2307.11
51,0.2567,2.001734345626831,10,100,0.15,0,0.7,2307.11
52,0.2791,2.0025140560150145,10,100,0.15,0,0.67,2307.11
53,0.179,2.078065364646912,10,100,0.15,0,0.66,2307.11
54,0.2309,2.0434079595565797,10,100,0.15,0,0.68,2307.11
55,0.2123,2.037838076210022,10,100,0.15,0,0.73,2307.11
56,0.2413,2.0067618824005127,10,100,0.15,0,0.69,2307.11
57,0.2807,2.006470665740967,10,100,0.15,0,1.06,2307.11
58,0.2202,2.0056071075439452,10,100,0.15,0,1.37,2307.11
59,0.2668,2.051377334022522,10,100,0.15,0,0.69,2307.11
60,0.2283,2.088209970664978,10,100,0.15,0,0.71,2307.11
61,0.2741,1.9899859371185302,10,100,0.15,0,0.72,2307.11
62,0.2821,1.9395923500061034,10,100,0.15,0,0.76,2307.11
63,0.2468,1.9646502456665038,10,100,0.15,0,0.83,2307.11
64,0.2885,1.960722193145752,10,100,0.15,0,0.8,2307.11
65,0.2848,1.9072285942077636,10,100,0.15,0,0.74,2307.11
66,0.2838,1.9089057430267333,10,100,0.15,0,0.79,2307.11
67,0.2913,1.883261895942688,10,100,0.15,0,0.8,2307.11
68,0.2467,1.9477831014633178,10,100,0.15,0,0.83,2307.11
69,0.2495,1.9925771938323975,10,100,0.15,0,1.32,2307.11
70,0.2714,1.9025622594833373,10,100,0.15,0,1.34,2307.11
71,0.2514,1.933983980178833,10,100,0.15,0,0.82,2307.11
72,0.2807,1.9773262859344483,10,100,0.15,0,0.82,2307.11
73,0.2967,1.9036575008392334,10,100,0.15,0,1.0,2307.11
74,0.2744,1.9533355632781984,10,100,0.15,0,0.81,2307.11
75,0.2686,1.9342105674743653,10,100,0.15,0,0.83,2307.11
76,0.2541,1.9222273136138917,10,100,0.15,0,0.8,2307.11
77,0.3124,1.8848347370147704,10,100,0.15,0,0.79,2307.11
78,0.2957,1.890161872291565,10,100,0.15,0,0.79,2307.11
79,0.3312,1.8565239723205567,10,100,0.15,0,0.83,2307.11
80,0.2784,1.9133207580566407,10,100,0.15,0,0.81,2307.11
81,0.3382,1.8023508930206298,10,100,0.15,0,1.25,2307.11
82,0.3284,1.7880813596725464,10,100,0.15,0,1.28,2307.11
83,0.2669,1.8947821674346923,10,100,0.15,0,0.87,2307.11
84,0.2886,1.8489760852813721,10,100,0.15,0,0.87,2307.11
85,0.3132,1.8335447975158692,10,100,0.15,0,0.86,2307.11
86,0.2986,1.8596734909057617,10,100,0.15,0,0.81,2307.11
87,0.2903,1.832994307899475,10,100,0.15,0,0.83,2307.11
88,0.3336,1.7857818336486817,10,100,0.15,0,0.86,2307.11
89,0.3097,1.8048633541107177,10,100,0.15,0,0.98,2307.11
