round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,,,25,100,1.0,0,0.25,1990.99
2,,,25,100,1.0,0,0.11,1990.99
3,,,25,100,1.0,0,0.08,1990.99
4,,,25,100,1.0,0,0.09,1990.99
5,0.1391,2.326246759033203,25,100,1.0,0,0.09,1990.99
6,,,25,100,1.0,0,0.08,1990.99
7,,,25,100,1.0,0,0.08,1990.99
8,,,25,100,1.0,0,0.1,1990.99
9,,,25,100,1.0,0,0.14,1990.99
10,0.1063,2.2981104179382323,25,100,1.0,0,0.09,1990.99
11,,,25,100,1.0,0,0.13,1990.99
12,,,25,100,1.0,0,0.08,1990.99
13,,,25,100,0.1633,1,1.6,1990.99
14,,,25,100,0.1545,0,2.73,1990.99
15,0.141,2.2302487865448,25,100,0.1598,3,1.81,1990.99
16,,,25,100,0.1613,1,1.52,1990.99
17,,,25,100,0.1628,3,1.62,1990.99
18,,,25,100,0.1684,3,1.74,1990.99
19,,,25,100,0.1704,3,1.54,1990.99
20,0.1945,2.1809499938964843,25,100,0.1686,1,2.62,1990.99
21,,,25,100,0.1669,1,1.63,1990.99
22,,,25,100,0.1654,2,1.67,1990.99
23,,,25,100,0.1721,6,1.84,1990.99
24,,,25,100,0.1711,1,1.6,1990.99
25,0.2382,2.0796544878005983,25,100,0.1819,5,1.67,1990.99
26,,,25,100,0.1808,2,2.59,1990.99
27,,,25,100,0.1879,4,2.22,1990.99
28,,,25,100,0.1869,1,1.65,1990.99
29,,,25,100,0.1858,0,1.89,1990.99
30,0.2366,2.069439356613159,25,100,0.1969,5,1.88,1990.99
31,,,25,100,0.2,2,1.81,1990.99
32,,,25,100,0.1992,2,1.56,1990.99
33,,,25,100,0.1943,1,2.58,1990.99
34,,,25,100,0.1896,4,1.65,1990.99
35,0.2522,2.010589234161377,25,100,0.1848,2,1.77,1990.99
36,,,25,100,0.1881,1,1.7,1990.99
37,,,25,100,0.1795,3,1.87,1990.99
38,,,25,100,0.1829,3,1.57,1990.99
39,,,25,100,0.1943,6,2.69,1990.99
40,0.3342,1.908294550704956,25,100,0.1897,4,1.88,1990.99
41,,,25,100,0.1931,1,1.81,1990.99
42,,,25,100,0.1925,3,1.73,1990.99
43,,,25,100,0.1959,3,1.66,1990.99
44,,,25,100,0.1913,4,1.78,1990.99
45,0.3352,1.8506920406341554,25,100,0.1908,2,2.62,1990.99
46,,,25,100,0.1943,6,2.12,1990.99
47,,,25,100,0.1977,3,1.88,1990.99
48,,,25,100,0.1933,3,1.58,1990.99
49,,,25,100,0.1729,4,1.78,1990.99
50,0.3255,1.9041260166168212,25,100,0.1803,4,1.94,1990.99
51,,,25,100,0.1798,2,1.71,1990.99
52,,,25,100,0.1793,4,1.87,1990.99
53,,,25,100,0.179,5,2.28,1990.99
54,,,25,100,0.1825,3,1.77,1990.99
55,0.3302,1.8579035432815552,25,100,0.19,4,1.66,1990.99
56,,,25,100,0.1856,3,2.67,1990.99
57,,,25,100,0.1932,6,1.85,1990.99
58,,,25,100,0.1927,5,1.76,1990.99
59,,,25,100,0.1923,3,1.84,1990.99
60,0.3311,1.8194082208633422,25,100,0.1959,3,1.92,1990.99
61,,,25,100,0.2035,4,1.81,1990.99
62,,,25,100,0.1992,4,1.77,1990.99
63,,,25,100,0.1909,4,1.67,1990.99
64,,,25,100,0.1906,5,1.91,1990.99
65,0.3729,1.7565167804718018,25,100,0.1943,4,1.76,1990.99
66,,,25,100,0.186,2,2.12,1990.99
67,,,25,100,0.1777,4,2.89,1990.99
68,,,25,100,0.1774,5,2.58,1990.99
69,,,25,100,0.173,2,1.85,1990.99
70,0.3653,1.7526203287124633,25,100,0.1727,2,1.84,1990.99
71,,,25,100,0.1683,3,1.81,1990.99
72,,,25,100,0.1681,2,1.7,1990.99
73,,,25,100,0.1678,5,2.88,1990.99
74,,,25,100,0.1675,3,1.84,1990.99
75,0.3941,1.7130981304168702,25,100,0.1633,2,1.84,1990.99
76,,,25,100,0.1591,4,2.33,1990.99
77,,,25,100,0.1588,4,1.67,1990.99
78,,,25,100,0.1586,3,1.86,1990.99
79,,,25,100,0.1663,3,2.95,1990.99
80,0.4015,1.6798997409820557,25,100,0.1701,4,1.77,1990.99
81,,,25,100,0.1738,4,2.06,1990.99
82,,,25,100,0.1816,6,2.03,1990.99
83,,,25,100,0.1773,6,1.88,1990.99
84,,,25,100,0.1772,5,1.78,1990.99
85,0.4104,1.6625215641021729,25,100,0.181,4,2.89,1990.99
86,,,25,100,0.1887,5,1.87,1990.99
87,,,25,100,0.1845,3,1.77,1990.99
88,,,25,100,0.1803,4,2.06,1990.99
89,,,25,100,0.1881,5,1.82,1990.99
90,0.4007,1.6797267208099365,25,100,0.1918,5,1.76,1990.99
91,,,25,100,0.1956,3,2.94,1990.99
92,,,25,100,0.1914,3,1.99,1990.99
93,,,25,100,0.1792,6,1.92,1990.99
94,,,25,100,0.1789,6,2.07,1990.99
95,0.4202,1.6568551736831665,25,100,0.1786,3,2.02,1990.99
96,,,25,100,0.1744,5,2.02,1990.99
97,,,25,100,0.1782,3,1.93,1990.99
98,,,25,100,0.182,5,1.96,1990.99
99,,,25,100,0.1738,5,1.92,1990.99
100,0.411,1.6655385879516602,25,100,0.1696,5,1.93,1990.99
